RIUSA;IMP_0018_153;02/12/2014;01/01/2010;BEC;Swift Fileact;10000000125;Integrado;Finalizado;KO;00000200.PPG;Pagos nacionales Londres;Natalia;00000200.PPG (error en el formato de la cuenta)
SCHNEIDER;IMP_0009_599;21/01/2014;01/01/2010;CIB;Swift Fileact;10000000010;Integrado;Finalizado;KO;;Órdenes pago internacionales en fichero;Sonia;Cuenta no existe en integrado, se da de alta una nueva en el servicio y se les solicita cambiarla
SCHNEIDER;IMP_0009_599;22/01/2014;01/01/2010;CIB;Swift Fileact;10000000010;Integrado;Finalizado;KO;12000413.TIN;Órdenes pago internacionales en fichero;Sonia;12000413.TIN problemas en el ciclo de integrado (no se llegó a ejecutar el envío)
SCHNEIDER;IMP_0009_599;30/01/2014;01/01/2010;CIB;Swift Fileact;10000000010;Integrado;Finalizado;OK;12000415.TIN;Órdenes pago internacionales en fichero;Sonia;12000415.TIN
SCHNEIDER;IMP_0009_599;07/01/2014;01/01/2010;CIB;Swift Fileact;10000000014;Producción;Cancelado;;;Órdenes pago internacionales en fichero;Sonia;El cliente informa que podrá enviar la semana del 16 de diciembre, lo pospone a enero de 2014.
SERUNION;;21/01/2015;01/01/2010;BEC;Swift Fileact;MIGRACION01;Integrado;Finalizado;KO;12000666.CNR;Euroconfirming;Ana;12000666.CNR (no mapedo, ha llegado XML)
SERUNION;;21/01/2015;01/01/2010;BEC;Swift Fileact;MIGRACION01;Integrado;Finalizado;KO;12000667.CNR;Euroconfirming;Ana;12000667.CNR (no mapedo, ha llegado XML)
SERUNION;;21/01/2015;01/01/2010;BEC;Swift Fileact;MIGRACION01;Integrado;Finalizado;KO;12000668.CNR;Euroconfirming;Ana;12000668.CNR (no mapedo, ha llegado XML)
SERUNION;;21/01/2015;01/01/2010;BEC;Swift Fileact;MIGRACION01;Integrado;Finalizado;KO;12000669.CNR;Euroconfirming;Ana;12000669.CNR (no mapedo, ha llegado XML)
SERUNION;;21/01/2015;01/01/2010;BEC;Swift Fileact;MIGRACION01;Integrado;Finalizado;KO;12000671.CNR;Euroconfirming;Ana;12000671.CNR (no mapedo, ha llegado XML)
SERUNION;;21/01/2015;01/01/2010;BEC;Swift Fileact;MIGRACION01;Integrado;Finalizado;KO;12000672.CNR;Euroconfirming;Ana;12000672.CNR (no mapedo, ha llegado XML)
SERUNION;;21/01/2015;01/01/2010;BEC;Swift Fileact;MIGRACION01;Integrado;Finalizado;KO;12000673.CNR;Euroconfirming;Ana;12000673.CNR (no mapedo, ha llegado XML)
SERUNION;;21/01/2015;01/01/2010;BEC;Swift Fileact;MIGRACION01;Integrado;Finalizado;KO;12000674.CNR;Euroconfirming;Ana;12000674.CNR (no mapedo, ha llegado XML)
SERUNION;;24/02/2015;01/01/2010;BEC;Swift Fileact;10000000018;Producción;Finalizado;OK;12020579.CNR;Euroconfirming;Ana;12020579.CNR
SERUNION;;24/02/2015;01/01/2010;BEC;Swift Fileact;10000000018;Producción;Finalizado;OK;12020581.CNR;Euroconfirming;Ana;12020581.CNR
SERUNION;;24/02/2015;01/01/2010;BEC;Swift Fileact;10000000018;Producción;Finalizado;OK;12020582.CNR;Euroconfirming;Ana;12020582.CNR
SERUNION;;24/02/2015;01/01/2010;BEC;Swift Fileact;10000000018;Producción;Finalizado;OK;12020584.CNR;Euroconfirming;Ana;12020584.CNR
SERUNION;;24/02/2015;01/01/2010;BEC;Swift Fileact;10000000018;Producción;Finalizado;OK;12020583.CNR;Euroconfirming;Ana;12020583.CNR
SERUNION;;24/02/2015;01/01/2010;BEC;Swift Fileact;10000000018;Producción;Finalizado;OK;12020585.CNR;Euroconfirming;Ana;12020585.CNR
SERUNION;;24/02/2015;01/01/2010;BEC;Swift Fileact;10000000018;Producción;Finalizado;OK;12020580.CNR;Euroconfirming;Ana;12020580.CNR
SERUNION;;29/01/2015;01/01/2010;BEC;Swift Fileact;MIGRACION01;Integrado;Finalizado;OK;12000682.CNR;Euroconfirming;Ana;12000682.CNR
SERUNION;;29/01/2015;01/01/2010;BEC;Swift Fileact;MIGRACION01;Integrado;Finalizado;OK;12000683.CNR;Euroconfirming;Ana;12000683.CNR
SERUNION;;29/01/2015;01/01/2010;BEC;Swift Fileact;MIGRACION01;Integrado;Finalizado;OK;12000684.CNR;Euroconfirming;Ana;12000684.CNR
SERUNION;;09/02/2015;01/01/2010;BEC;Swift Fileact;MIGRACION01;Integrado;Finalizado;OK;12000693.CNR;Euroconfirming;Ana;12000693.CNR
SERUNION;;09/02/2015;01/01/2010;BEC;Swift Fileact;MIGRACION01;Integrado;Finalizado;OK;12000694.CNR;Euroconfirming;Ana;12000694.CNR
SERUNION;;09/02/2015;01/01/2010;BEC;Swift Fileact;MIGRACION01;Integrado;Finalizado;OK;12000695.CNR;Euroconfirming;Ana;12000695.CNR
SERUNION;;09/02/2015;01/01/2010;BEC;Swift Fileact;MIGRACION01;Integrado;Finalizado;OK;12000697.CNR;Euroconfirming;Ana;12000697.CNR
SERUNION;;09/02/2015;01/01/2010;BEC;Swift Fileact;MIGRACION01;Integrado;Finalizado;OK;12000698.CNR;Euroconfirming;Ana;12000698.CNR
SERUNION;;09/02/2015;01/01/2010;BEC;Swift Fileact;MIGRACION01;Integrado;Finalizado;OK;12000699.CNR;Euroconfirming;Ana;12000699.CNR
SERUNION;;09/02/2015;01/01/2010;BEC;Swift Fileact;MIGRACION01;Integrado;Finalizado;OK;12000700.CNR;Euroconfirming;Ana;12000700.CNR
SOLVAY;;09/12/2014;01/01/2010;CIB;Swift Fileact;10000000008;Integrado;Finalizado;OK;09003581.CNF;Confirming de clientes;Natalia;09003581.CNF
SOLVAY;IMP_0068_324;21/01/2014;01/01/2010;CIB;Swift Fileact;10000000021;Producción;Cancelado;;;Transferencias 34.14;Ángel;
SOLVAY;IMP_0068_324;27/01/2014;01/01/2010;CIB;Swift Fileact;10000000021;Producción;Finalizado;OK;09015941.FIT;Transferencias 34.14;Ángel;09015941.FIT (fecha de ejecución 30/01/2014)
TECNICAS REUNIDAS;IMP_0028_281;10/09/2014;01/01/2010;BEC;Swift Fileact;10000000135;Integrado;Finalizado;KO;00000042.FIM;Nóminas 34.14;Ana;00000042.FIM (No han llegado a SSTT)
TECNICAS REUNIDAS;IMP_0028_281;10/09/2014;01/01/2010;BEC;Swift Fileact;10000000135;Integrado;Finalizado;KO;00000043.FIM;Nóminas 34.14;Ana;00000043.FIM (No han llegado a SSTT)
TECNICAS REUNIDAS;IMP_0028_281;10/09/2014;01/01/2010;BEC;Swift Fileact;10000000135;Integrado;Finalizado;KO;00000043.FIM;Nóminas 34.14;Ana;00000044.FIM (No han llegado a SSTT)
TECNICAS REUNIDAS;IMP_0028_281;19/09/2014;01/01/2010;BEC;Swift Fileact;10000000135;Integrado;Finalizado;OK;00000048.FIT;Nóminas 34.14;Ängel;00000048.FIT
TECNICAS REUNIDAS;IMP_0028_281;22/10/2014;01/01/2010;BEC;Swift Fileact;10000000135;Integrado;Finalizado;OK;00000074.FIM;Nóminas 34.14;Ana;00000074.FIM
TECNICAS REUNIDAS;IMP_0028_281;22/10/2014;01/01/2010;BEC;Swift Fileact;10000000135;Integrado;Finalizado;OK;00000082.FIM;Nóminas 34.14;Ana;00000082.FIM
TECNICAS REUNIDAS;IMP_0028_281;09/09/2014;01/01/2010;BEC;Swift Fileact;10000000135;Integrado;Finalizado;OK;00000038.FIM;Nóminas 34.14;Ana;00000038.FIM
TECNICAS REUNIDAS;IMP_0028_279;11/08/2014;01/01/2010;BEC;Swift Fileact;10000000135;Integrado;Finalizado;OK;00000024.FIT;Transferencias 34.14;Ana;00000024.FIT
TECNICAS REUNIDAS;IMP_0028_279;12/08/2014;01/01/2010;BEC;Swift Fileact;10000000135;Integrado;Finalizado;OK;00000027.FIT;Transferencias 34.14;Ana;00000027.FIT
TECNICAS REUNIDAS;IMP_0028_279;15/01/2015;01/01/2010;BEC;Swift Fileact;10000000147;Producción;Finalizado;OK;00000002.FIT;Transferencias 34.14;Ana;00000002.FIT
TECNICAS REUNIDAS;IMP_0028_279;19/09/2014;01/01/2010;BEC;Swift Fileact;10000000135;Integrado;Finalizado;OK;00000050.FIM;Transferencias 34.14;Ängel;00000050.FIM
TECNICAS REUNIDAS;IMP_0028_279;22/10/2014;01/01/2010;BEC;Swift Fileact;10000000135;Integrado;Finalizado;OK;00000066.FIM;Transferencias 34.14;Ana;"00000066.FIM (Debido a un error en otro tipo de pruebas los ficheros se habían descartado en la aplicación de destino, pero se han
  podido recuperar y ya han sido procesados de forma correcta)"
TECNICAS REUNIDAS;IMP_0028_279;22/10/2014;01/01/2010;BEC;Swift Fileact;10000000135;Integrado;Finalizado;OK;00000067.FIT;Transferencias 34.14;Ana;"00000067.FIT (Debido a un error en otro tipo de pruebas los ficheros se habían descartado en la aplicación de destino, pero se han
  podido recuperar y ya han sido procesados de forma correcta)"
TECNICAS REUNIDAS;IMP_0028_279;22/10/2014;01/01/2010;BEC;Swift Fileact;10000000135;Integrado;Finalizado;OK;00000068.FIM;Transferencias 34.14;Ana;"00000068.FIM (Debido a un error en otro tipo de pruebas los ficheros se habían descartado en la aplicación de destino, pero se han
  podido recuperar y ya han sido procesados de forma correcta)"
TECNICAS REUNIDAS;IMP_0028_279;22/10/2014;01/01/2010;BEC;Swift Fileact;10000000135;Integrado;Finalizado;OK;00000070.FIT;Transferencias 34.14;Ana;"00000070.FIT (Debido a un error en otro tipo de pruebas los ficheros se habían descartado en la aplicación de destino, pero se han
  podido recuperar y ya han sido procesados de forma correcta)"
TECNICAS REUNIDAS;IMP_0028_279;22/10/2014;01/01/2010;BEC;Swift Fileact;10000000135;Integrado;Finalizado;OK;00000076.FIT;Transferencias 34.14;Ana;00000076.FIT
TECNICAS REUNIDAS;IMP_0028_279;22/10/2014;01/01/2010;BEC;Swift Fileact;10000000135;Integrado;Finalizado;OK;00000084.FIT;Transferencias 34.14;Ana;00000084.FIT
TECNICAS REUNIDAS;IMP_0028_279;03/09/2014;01/01/2010;BEC;Swift Fileact;10000000135;Integrado;Finalizado;OK;00000032.FIT;Transferencias 34.14;Ana;00000032.FIT Ha quedado parado en IMG por una incidencia
TECNICAS REUNIDAS;IMP_0028_279;03/09/2014;01/01/2010;BEC;Swift Fileact;10000000135;Integrado;Finalizado;KO;00000035.FIT;Transferencias 34.14;Ana;00000035.FIT Ha quedado parado en IMG por una incidencia (DUPLICADO)
TECNICAS REUNIDAS;IMP_0028_279;03/09/2014;01/01/2010;BEC;Swift Fileact;10000000135;Integrado;Finalizado;OK;00000036.FIT;Transferencias 34.14;Ana;00000036.FIT Ha quedado parado en IMG por una incidencia
TECNICAS REUNIDAS;IMP_0028_279;05/08/2014;01/01/2010;BEC;Swift Fileact;10000000135;Integrado;Finalizado;OK;00000014.FIT;Transferencias 34.14;Angel;00000014.FIT. Autorizado, ha llegado con cuenta ordenante real, no la de pruebas.
TECNICAS REUNIDAS;IMP_0028_281;04/02/2015;01/01/2010;BEC;Swift Fileact;10000000135;Integrado;En curso;OK;00000155.FIM;Nóminas 34.14;Jorge;00000155.FIM
TECNICAS REUNIDAS;IMP_0028_281;05/02/2015;01/01/2010;BEC;Swift Fileact;10000000135;Integrado;Finalizado;OK;00000160.FIM;Nóminas 34.14;Jorge;00000160.FIM
TECNICAS REUNIDAS;IMP_0028_281;05/02/2015;01/01/2010;BEC;Swift Fileact;10000000135;Integrado;Finalizado;OK;00000163.FIM;Nóminas 34.14;Jorge;00000163.FIM
TECNICAS REUNIDAS;IMP_0028_280;11/08/2014;01/01/2010;BEC;Swift Fileact;10000000135;Integrado;Finalizado;OK;00000023.TIN;Órdenes pago internacionales en fichero;Ana;00000023.TIN
TECNICAS REUNIDAS;IMP_0028_280;12/08/2014;01/01/2010;BEC;Swift Fileact;10000000135;Integrado;Finalizado;OK;00000028.TIN;Órdenes pago internacionales en fichero;Ana;00000028.TIN
TECNICAS REUNIDAS;IMP_0028_280;15/01/2015;01/01/2010;BEC;Swift Fileact;10000000147;Producción;Finalizado;OK;00000004.TIN;Órdenes pago internacionales en fichero;Ana;00000004.TIN
TECNICAS REUNIDAS;IMP_0028_280;22/10/2014;01/01/2010;BEC;Swift Fileact;10000000135;Integrado;Finalizado;OK;00000083.TIN;Órdenes pago internacionales en fichero;Ana;00000083.TIN
TECNICAS REUNIDAS;IMP_0028_280;22/10/2014;01/01/2010;BEC;Swift Fileact;10000000135;Integrado;Finalizado;OK;00000085.TIN;Órdenes pago internacionales en fichero;Ana;00000085.TIN
TECNICAS REUNIDAS;IMP_0028_280;22/10/2014;01/01/2010;BEC;Swift Fileact;10000000135;Integrado;Finalizado;OK;00000086.TIN;Órdenes pago internacionales en fichero;Ana;00000086.TIN
TECNICAS REUNIDAS;IMP_0028_280;04/08/2014;01/01/2010;BEC;Swift Fileact;10000000135;Integrado;Finalizado;OK;00000005.TIN;Órdenes pago internacionales en fichero;Angel;00000005.TIN. Autorizado, ha llegado con cuenta ordenante real, no la de pruebas. Se ha reclamado a Comex el 06/08 pues no se han procesado aún. Nos piden desde COMEX volver a enviarlo pq se cedieron al pozo equivocado y ya no hay copia de los ficheros. Finalmente se han procesado y cargado según confirma COMEX el 12/08.
TECNICAS REUNIDAS;IMP_0028_280;04/08/2014;01/01/2010;BEC;Swift Fileact;10000000135;Integrado;Finalizado;OK;00000006.TIN;Órdenes pago internacionales en fichero;Angel;00000006.TIN. Autorizado, ha llegado con cuenta ordenante real, no la de pruebas.Se ha reclamado a Comex el 06/08 pues no se han procesado aún.Nos piden desde COMEX volver a enviarlo pq se cedieron al pozo equivocado y ya no hay copia de los ficheros. Finalmente se han procesado y cargado según confirma COMEX el 12/08.
TECNICAS REUNIDAS;IMP_0028_280;05/08/2014;01/01/2010;BEC;Swift Fileact;10000000135;Integrado;Finalizado;OK;00000015.TIN;Órdenes pago internacionales en fichero;Angel;00000015.TIN. Autorizado, ha llegado con cuenta ordenante real, no la de pruebas.Se ha reclamado a Comex el 06/08 pues no se han procesado aún. Nos piden desde COMEX volver a enviarlo pq se cedieron al pozo equivocado y ya no hay copia de los ficheros. Finalmente se han procesado y cargado según confirma COMEX el 12/08.
TECNICAS REUNIDAS;IMP_0028_280;15/01/2015;01/01/2010;BEC;Swift Fileact;10000000147;Producción;Finalizado;OK;00000006.TIN;Órdenes pago internacionales en fichero;Ana;00000006.TIN
TECNICAS REUNIDAS;IMP_0028_279;05/02/2015;01/01/2010;BEC;Swift Fileact;10000000135;Integrado;Finalizado;OK;00000161.FIT;Transferencias 34.14;Jorge;00000161.FIT
TECNICAS REUNIDAS;IMP_0028_279;05/02/2015;01/01/2010;BEC;Swift Fileact;10000000135;Integrado;Finalizado;OK;00000162.FIT;Transferencias 34.14;Jorge;00000162.FIT
TELFISA;IMP_0014_602;08/01/2015;01/01/2010;CIB;Swift Fileact;10000000150;Producción;Finalizado;OK;00000009.FIT;Transferencias 34.14;Jorge;00000009.FIT
TELFISA;IMP_0014_601;22/05/2014;01/01/2010;CIB;Swift Fileact;10000000108;Integrado;Finalizado;KO;00000028.TIN;Órdenes pago internacionales en fichero;Jorge;00000028.TIN (cuenta incorrecta)
TELFISA;IMP_0014_601;22/05/2014;01/01/2010;CIB;Swift Fileact;10000000108;Integrado;Finalizado;KO;00000029.TIN;Órdenes pago internacionales en fichero;Jorge;00000029.TIN (cuenta incorrecta)
TELFISA;IMP_0014_601;26/05/2014;01/01/2010;CIB;Swift Fileact;10000000108;Integrado;Finalizado;OK;00000031.TIN;Órdenes pago internacionales en fichero;Jorge;00000031.TIN
TELFISA;IMP_0014_601;26/05/2014;01/01/2010;CIB;Swift Fileact;10000000108;Integrado;Finalizado;OK;00000032.TIN;Órdenes pago internacionales en fichero;Jorge;00000032.TIN
TELFISA;IMP_0014_601;07/01/2015;01/01/2010;CIB;Swift Fileact;10000000150;Producción;Finalizado;OK;00000006.TIN;Órdenes pago internacionales en fichero;Jorge;00000006.TIN
TELFISA;IMP_0014_601;07/01/2015;01/01/2010;CIB;Swift Fileact;10000000150;Producción;Finalizado;OK;00000007.TIN;Órdenes pago internacionales en fichero;Jorge;00000007.TIN
TETRAPAK;IMP_0116_552;10/03/2014;01/01/2010;BEC;Swift Fileact;10000000107;Integrado;Finalizado;OK;000000028.FIT;Transferencias 34.14;Cristina;000000028.FIT
TETRAPAK;IMP_0116_552;10/03/2014;01/01/2010;BEC;Swift Fileact;10000000107;Integrado;Finalizado;OK;000000029.FIT;Transferencias 34.14;Cristina;000000029.FIT
TETRAPAK;IMP_0116_552;19/02/2014;01/01/2010;BEC;Swift Fileact;10000000107;Integrado;Cancelado;;;Transferencias 34.14;Cristina;
TETRAPAK;IMP_0116_552;02/04/2014;01/01/2010;BEC;Swift Fileact;1,00E+10;Producción;Cancelado;;;Transferencias 34.14;Cristina;
TETRAPAK;IMP_0116_552;25/03/2014;01/01/2010;BEC;Swift Fileact;10000000125;Producción;Finalizado;OK;00000003.FIT;Transferencias 34.14;Cristina;00000003.FIT
TETRAPAK;IMP_0116_552;25/03/2014;01/01/2010;BEC;Swift Fileact;10000000125;Producción;Finalizado;OK;00000004.FIT;Transferencias 34.14;Cristina;00000004.FIT
TETRAPAK;IMP_0116_552;27/02/2014;01/01/2010;BEC;Swift Fileact;10000000107;Integrado;Finalizado;OK;00000024.FIT;Transferencias 34.14;Cristina;00000024.FIT. Todas las validaciones ok en PRISMA
TETRAPAK;IMP_0116_552;27/02/2014;01/01/2010;BEC;Swift Fileact;10000000107;Integrado;Finalizado;OK;00000025.FIT;Transferencias 34.14;Cristina;00000025.FIT. Todas las validaciones ok en PRISMA
TETRAPAK;IMP_0116_552;04/04/2014;01/01/2010;BEC;Swift Fileact;1,00E+10;Producción;Finalizado;OK;00000006.FIT;Transferencias 34.14;Cristina;00000006.FIT
TOMPLA;IMP_0075_94;19/05/2014;01/01/2010;BEC;Swift Fileact;10000000029;Producción;Finalizado;OK;18000399.TIN;Órdenes pago internacionales en fichero;Alba;18000399.TIN
TOMPLA;;18/02/2014;01/01/2010;BEC;Swift Fileact;10000000029;Producción;Finalizado;OK;18000304.SPF;Sepa - pagos París;Ana;18000304.SPF
TOMPLA;;21/01/2014;01/01/2010;BEC;Swift Fileact;TESTSIWFT04;Integrado;Finalizado;KO;18001264.SPF;Sepa - pagos París;Ana;18001264.SPF (cuenta incorrecta)
TOMPLA;;21/01/2014;01/01/2010;BEC;Swift Fileact;TESTSIWFT04;Integrado;Finalizado;OK;18001266.SPF;Sepa - pagos París;Ana;18001266.SPF
TOMPLA;IMP_0075_101;21/01/2014;01/01/2010;BEC;Swift Fileact;TESTSIWFT04;Integrado;Finalizado;KO;;Transferencias tesorería - Paris;Ana;Fichero erróneo, no ha llegado a SSTT
TOTAL;;13/01/2014;01/01/2010;CIB;Swift Fileact;TESTSWIFT02;Integrado;Finalizado;KO;30002329.CSP;Adeudos directos 19.14 (Sepa);Cristina;30002329.CSP (ID Acreedor incorrecto)
TOTAL;;13/01/2014;01/01/2010;CIB;Swift Fileact;TESTSWIFT02;Integrado;Finalizado;KO;30002330.CSP;Adeudos directos 19.14 (Sepa);Cristina;30002330.CSP (ID Acreedor incorrecto)
TOTAL;;14/01/2014;01/01/2010;CIB;Swift Fileact;TESTSWIFT02;Integrado;Finalizado;KO;30002337.CSP;Adeudos directos 19.14 (Sepa);Cristina;30002337.CSP (fuera de plazo)
